"time","ci","metric.mean_avg_processing_time","metric.mean_count","metric.mean_error_count","metric.mean_error_rate"
"2019-12-03T18:20:00.000Z","GetThere GTX2","504",,"52",
"2019-12-03T18:20:00.000Z","Master Configuration Tool",,,"65",
"2019-12-03T18:20:00.000Z","Payment FraudCheck Service","352",,,
"2019-12-03T18:20:00.000Z","Payment Internet Payment Engine","859",,"2",
"2019-12-03T18:20:00.000Z","Payment Merchant Services Fees Push Service","19",,,
"2019-12-03T18:20:00.000Z","Payment Merchant Services Fees Query Service","15",,"0",
"2019-12-03T18:20:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:20:00.000Z","Payment Merchant Services Fees VoidRefund Service","20",,,
"2019-12-03T18:20:00.000Z","Payment PSS Service","689",,"56",
"2019-12-03T18:20:00.000Z","Payment Processor Service","700",,"90",
"2019-12-03T18:20:00.000Z","Payment Query Service","195",,"10",
"2019-12-03T18:20:00.000Z","Payment Remote Service","54",,"0",
"2019-12-03T18:20:00.000Z","REST Application Facade","24",,,
"2019-12-03T18:20:00.000Z","Red App Center",,,"0",
"2019-12-03T18:20:00.000Z","SHS CCRS Universal Message Broker","41.465737149431476",,,
"2019-12-03T18:20:00.000Z","SRW Sabre Red Workspace","81.5",,"8.5",
"2019-12-03T18:20:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:20:00.000Z","SSW Service Engine","988",,"262",
"2019-12-03T18:20:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:20:00.000Z","Sabre Geographical Services","4",,,
"2019-12-03T18:20:00.000Z","Sabre Web Services","430",,"5627",
"2019-12-03T18:20:00.000Z","Service Health Portal","533.8150336417157","99.33333333333333","94.33333333333333",
"2019-12-03T18:20:00.000Z","T2 Agent Sales Report","53",,"9",
"2019-12-03T18:20:00.000Z","T2 Data Management Services","97",,"4",
"2019-12-03T18:20:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:20:00.000Z","T2 Electronic Tktng HUB","175",,"72",
"2019-12-03T18:20:00.000Z","T2 Ticketing Domain Services","578",,"60",
"2019-12-03T18:20:00.000Z","T2 Web Services","238",,,"238"
"2019-12-03T18:20:00.000Z","UPSITE","18",,"281",
"2019-12-03T18:20:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:21:00.000Z","ANCS Ancillary Services 1","11",,,
"2019-12-03T18:21:00.000Z","CENTIVA","41",,"23",
"2019-12-03T18:21:00.000Z","CKI Check-In Services","222",,"1309",
"2019-12-03T18:21:00.000Z","CKI Event Manager","148",,"1",
"2019-12-03T18:21:00.000Z","CKI Host Event Handler","185",,"0",
"2019-12-03T18:21:00.000Z","Community Portal","19",,"16",
"2019-12-03T18:21:00.000Z","Content Services Travel Protection XML","1127",,"0",
"2019-12-03T18:21:00.000Z","German Tour","18",,"7",
"2019-12-03T18:21:00.000Z","GetThere GTX2","572",,"46",
"2019-12-03T18:21:00.000Z","Master Configuration Tool",,,"64",
"2019-12-03T18:21:00.000Z","Payment FraudCheck Service","362",,,
